avg_vehicles_per_household,GEOID
2.14,06037403323
2.26,06037403324
1.92,06037403325
2.24,06037403326
2.33,06037403327
2.26,06037403328
2.14,06037403401
2.22,06037403402
2.54,06037403403
2.47,06037403404
2.81,06037403407
2.53,06037403408
2.29,06037403409
2.09,06037403500
2.55,06037403601
2.46,06037403702
2.35,06037403703
2.24,06037403721
2.04,06037403722
1.91,06037403801
2.12,06037403802
2.53,06037403901
2.18,06037403902
2.33,06037404000
2.7,06037404100
1.9,06037404201
2.4,06037404203
2.29,06037404301
2.59,06037404302
2.12,06037404401
2.84,06037404402
2.23,06037404501
2.08,06037404503
1.64,06037404504
2.56,06037404600
2.51,06037404701
2.39,06037404702
2.36,06037404703
2.46,06037404804
1.99,06037404805
2.21,06037404806
2.76,06037404901
2.4,06037404902
2.47,06037404903
2.79,06037405001
2.76,06037405002
2.61,06037405101
1.89,06037405102
2.24,06037405201
2.32,06037405202
2.83,06037405203
1.81,06037405301
2.3,06037405302
2.71,06037405400
2.39,06037405500
2.35,06037405600
2.2,06037405701
2.26,06037405702
2.35,06037405800
2.28,06037405900
2.46,06037406000
1.93,06037406101
2.0,06037406103
1.69,06037406201
2.27,06037406300
2.3,06037406413
2.64,06037406500
2.28,06037406601
2.41,06037406602
2.43,06037406701
2.21,06037406702
2.68,06037406801
2.13,06037406903
2.7,06037407001
2.71,06037407002
2.19,06037407101
2.68,06037407102
2.53,06037407201
2.72,06037407202
2.53,06037407301
2.55,06037407302
2.56,06037407400
2.59,06037407501
3.04,06037407502
2.35,06037407601
2.59,06037407602
2.29,06037407701
2.64,06037407702
3.13,06037407801
2.89,06037407802
2.86,06037407901
2.34,06037407902
2.78,06037408003
2.0,06037408004
2.4,06037408005
2.14,06037408006
2.03,06037408133
2.35,06037408134
2.07,06037408135
2.51,06037408136
1.98,06037408137
2.43,06037408138
3.08,06037408139
2.52,06037408140
2.47,06037408141
2.08,06037408212
2.1,06037408213
2.73,06037408301
2.44,06037408302
2.83,06037408303
2.29,06037408401
2.62,06037408402
2.67,06037408503
2.18,06037408504
2.42,06037408505
2.13,06037408623
2.26,06037408624
2.36,06037408625
2.26,06037408626
2.53,06037408627
1.78,06037408628
2.52,06037408629
2.38,06037408631
2.61,06037408703
2.15,06037408705
2.41,06037408707
2.53,06037408722
1.72,06037408724
2.1,06037408725
1.57,06037408800
1.73,06037408900
2.2,06037409000
2.42,06037409100
2.42,06037430003
1.75,06037430004
2.2,06037430005
1.54,06037430101
2.51,06037430102
2.04,06037430200
2.28,06037430301
1.72,06037430302
2.51,06037430400
1.98,06037430501
1.76,06037430502
2.47,06037430600
1.96,06037430701
1.69,06037430721
1.77,06037430723
1.47,06037430724
1.86,06037430801
2.32,06037430802
2.24,06037430803
1.74,06037430901
1.85,06037430902
1.82,06037431002
1.97,06037431003
1.78,06037431004
2.0,06037431100
2.58,06037431200
2.42,06037431300
1.93,06037431400
1.77,06037431501
2.07,06037431502
1.96,06037431600
2.28,06037431701
1.77,06037431800
1.88,06037431900
2.33,06037432001
2.0,06037432002
2.39,06037432101
2.24,06037432102
2.2,06037432201
1.94,06037432202
2.13,06037432300
2.31,06037432401
1.89,06037432402
2.13,06037432501
3.11,06037432502
2.26,06037432601
2.64,06037432602
1.94,06037432700
1.38,06037432801
1.53,06037432802
1.93,06037432901
2.47,06037432902
2.14,06037433103
2.0,06037433200
2.14,06037433302
1.62,06037433304
1.76,06037433305
2.11,06037433306
2.0,06037433307
2.27,06037433402
1.88,06037433403
2.1,06037433505
1.74,06037433506
2.29,06037433601
1.88,06037433602
2.22,06037433803
2.2,06037433804
1.96,06037433901
1.94,06037433903
2.41,06037434001
2.41,06037434003
2.49,06037434004
2.16,06037434100
2.34,06037460001
2.01,06037460002
2.22,06037460101
2.03,06037460200
2.36,06037460301
1.71,06037460302
2.16,06037460401
2.41,06037460501
2.44,06037460502
2.48,06037460601
2.53,06037460700
2.2,06037460800
2.12,06037460900
2.25,06037461000
1.8,06037461100
1.99,06037461200
1.92,06037461300
1.46,06037461400
1.98,06037461501
1.84,06037461502
1.76,06037461600
1.67,06037461700
1.23,06037461901
1.02,06037461902
1.89,06037462001
1.56,06037462002
1.82,06037462100
1.02,06037462201
1.27,06037462202
1.54,06037462301
1.22,06037462302
1.88,06037462400
1.99,06037462500
1.94,06037462600
1.57,06037462700
1.76,06037462800
1.94,06037462900
1.8,06037463000
1.97,06037463103
1.59,06037463200
1.9,06037463300
1.78,06037463400
1.48,06037463500
1.2,06037463601
1.21,06037463602
1.52,06037463700
1.84,06037463800
1.54,06037463900
1.77,06037464000
2.21,06037464101
2.46,06037464102
2.4,06037464200
2.22,06037480002
1.81,06037480011
2.04,06037480012
2.03,06037480101
2.21,06037480102
2.11,06037480201
1.85,06037480202
1.65,06037480302
1.89,06037480303
1.56,06037480304
1.76,06037480400
1.85,06037480500
1.55,06037480601
1.64,06037480602
1.94,06037480702
2.18,06037480703
1.54,06037480704
2.19,06037480802
1.86,06037480803
1.66,06037480804
1.72,06037480901
1.62,06037480902
1.75,06037480903
1.55,06037481001
1.57,06037481002
1.77,06037481101
1.69,06037481102
1.89,06037481103
2.04,06037481201
2.15,06037481203
2.25,06037481300
2.09,06037481401
1.78,06037481403
2.18,06037481404
1.92,06037481500
1.7,06037481603
1.83,06037481604
1.93,06037481605
1.83,06037481606
1.58,06037481711
1.58,06037481712
1.88,06037481713
1.33,06037481714
2.08,06037481800
2.02,06037481901
1.87,06037481902
2.18,06037482001
1.96,06037482002
1.71,06037482101
2.07,06037482102
1.58,06037482201
1.76,06037482202
2.13,06037482301
2.02,06037482303
1.83,06037482304
2.06,06037482401
2.0,06037482403
2.33,06037482404
2.35,06037482502
2.2,06037482503
2.13,06037482521
1.79,06037482522
2.21,06037482600
1.63,06037482701
2.16,06037482702
2.02,06037482801
2.73,06037500100
2.47,06037500202
2.32,06037500203
2.15,06037500204
2.25,06037500300
2.26,06037500402
2.45,06037500403
2.55,06037500404
1.97,06037500500
2.62,06037500600
2.23,06037500700
2.47,06037500800
2.06,06037500900
2.52,06037501001
2.36,06037501002
2.46,06037501200
2.14,06037501301
1.94,06037501302
2.0,06037501400
2.18,06037501501
1.89,06037501503
1.23,06037501504
2.27,06037501600
1.95,06037501700
1.91,06037501802
1.54,06037501803
1.62,06037501804
2.56,06037501900
2.23,06037502003
2.39,06037502004
2.35,06037502005
1.92,06037502100
2.62,06037502200
2.07,06037502303
2.16,06037502401
2.5,06037502402
2.18,06037502500
2.09,06037502602
2.69,06037502603
2.45,06037502604
2.35,06037502700
2.46,06037502801
2.48,06037502901
2.68,06037503000
2.68,06037503103
2.26,06037503104
2.1,06037503105
2.28,06037503106
2.59,06037503201
2.25,06037503202
2.45,06037503301
2.07,06037503302
2.18,06037503401
2.25,06037503402
2.27,06037503501
2.27,06037503502
2.11,06037503601
2.42,06037503602
2.14,06037503701
2.2,06037503702
1.73,06037503704
2.18,06037503705
2.19,06037503801
2.22,06037503802
2.23,06037503901
2.58,06037503902
2.4,06037504001
2.62,06037504002
2.3,06037504101
1.62,06037504200
2.11,06037530005
1.91,06037530006
2.11,06037530007
1.59,06037530101
1.75,06037530102
2.18,06037530202
1.69,06037530203
2.01,06037530204
1.82,06037530301
1.95,06037530302
1.49,06037530400
1.55,06037530500
2.13,06037530603
1.99,06037530700
2.59,06037530801
2.18,06037530802
2.21,06037530901
1.42,06037530902
1.8,06037531000
1.99,06037531101
1.54,06037531102
1.88,06037531201
1.57,06037531202
1.83,06037531301
1.86,06037531302
1.94,06037531502
1.86,06037531503
2.13,06037531504
1.8,06037531602
2.06,06037531603
1.65,06037531604
1.89,06037531701
2.01,06037531702
2.25,06037531800
1.88,06037531901
2.07,06037531902
2.02,06037532001
1.99,06037532002
2.14,06037532101
2.47,06037532102
2.26,06037532200
2.49,06037532302
2.1,06037532303
1.79,06037532304
1.81,06037532500
1.71,06037532605
1.35,06037532606
1.73,06037532607
2.01,06037532700
2.08,06037532800
1.5,06037532900
1.94,06037533001
2.17,06037533002
1.76,06037533103
1.35,06037533104
1.97,06037533105
1.62,06037533108
1.77,06037533201
1.91,06037533204
2.03,06037533300
1.91,06037533401
2.05,06037533402
1.85,06037533403
1.75,06037533501
1.86,06037533504
1.72,06037533601
1.86,06037533602
1.79,06037533603
1.93,06037533701
2.22,06037533702
2.44,06037533703
1.85,06037533803
2.03,06037533804
2.06,06037533805
2.08,06037533806
1.88,06037533901
2.1,06037533902
2.12,06037534001
2.22,06037534002
2.21,06037534101
1.78,06037534102
1.83,06037534201
2.03,06037534202
1.77,06037534203
1.71,06037534301
2.01,06037534302
2.21,06037534403
1.86,06037534404
1.93,06037534405
1.7,06037534406
1.84,06037534501
2.14,06037534502
2.52,06037534700
2.17,06037534802
2.27,06037534803
2.05,06037534804
2.03,06037534900
1.92,06037535001
1.8,06037535002
2.02,06037535101
2.23,06037535102
2.17,06037535200
2.1,06037535300
2.19,06037535400
1.86,06037535501
1.85,06037535502
2.12,06037535503
1.83,06037535603
2.31,06037535604
1.82,06037535605
1.89,06037535606
2.54,06037535607
2.02,06037535701
1.9,06037535702
2.23,06037535802
1.91,06037535803
2.13,06037535804
2.43,06037535901
2.68,06037535902
1.66,06037536000
2.16,06037536102
2.23,06037536103
1.98,06037536104
2.16,06037536201
2.3,06037536202
2.58,06037540000
2.44,06037540101
2.72,06037540102
1.94,06037540201
2.03,06037540202
1.99,06037540203
2.21,06037540300
2.16,06037540400
2.39,06037540501
1.81,06037540502
1.55,06037540600
1.68,06037540700
1.93,06037540800
2.18,06037540901
1.75,06037540902
2.16,06037541003
2.21,06037541100
2.04,06037541200
2.47,06037541300
1.98,06037541401
2.43,06037541402
1.93,06037541500
1.93,06037541603
2.04,06037541604
1.96,06037541605
2.1,06037541606
2.34,06037541700
2.05,06037541801
2.73,06037541802
2.44,06037542000
2.32,06037542103
2.61,06037542104
2.28,06037542105
1.93,06037542106
2.43,06037542200
2.49,06037542401
2.5,06037542402
1.98,06037542501
1.95,06037542502
2.24,06037542601
2.16,06037542602
2.55,06037542700
2.41,06037542800
2.45,06037542900
2.16,06037543000
2.45,06037543100
2.73,06037543201
1.75,06037543203
2.09,06037543304
2.18,06037543305
2.77,06037543306
2.17,06037543321
2.44,06037543322
2.65,06037543400
1.71,06037543501
2.22,06037543502
1.88,06037543503
2.61,06037543601
2.07,06037543603
2.02,06037543605
1.91,06037543606
2.73,06037543607
2.72,06037543701
2.44,06037543703
2.72,06037543704
2.15,06037543705
2.49,06037543801
1.83,06037543803
2.72,06037543804
2.46,06037543903
2.36,06037543905
2.26,06037544001
2.38,06037544002
2.4,06037550101
2.06,06037550201
2.41,06037550202
1.9,06037550301
2.28,06037550501
2.28,06037550502
2.13,06037550601
2.25,06037550602
2.36,06037550700
1.99,06037550801
2.22,06037550802
1.94,06037550901
1.74,06037550902
1.84,06037551001
2.15,06037551002
1.72,06037551101
1.73,06037551102
2.22,06037551201
2.69,06037551203
1.97,06037551204
1.91,06037551300
2.0,06037551401
2.27,06037551402
2.19,06037551501
2.27,06037551502
2.28,06037551700
2.36,06037551801
1.97,06037551802
2.41,06037551900
2.43,06037552001
2.34,06037552002
2.03,06037552100
1.81,06037552200
2.5,06037552301
1.96,06037552302
2.58,06037552400
2.83,06037552601
2.39,06037552602
2.69,06037552700
2.69,06037552800
2.19,06037552900
3.21,06037553000
2.36,06037553100
2.72,06037553201
2.28,06037553202
2.64,06037553300
2.41,06037553400
1.93,06037553502
2.14,06037553503
2.3,06037553504
1.97,06037553601
1.93,06037553602
2.45,06037553701
2.02,06037553702
2.12,06037553801
1.93,06037553802
2.42,06037553901
2.17,06037553902
2.09,06037554001
2.08,06037554002
2.08,06037554101
1.53,06037554105
2.12,06037554106
2.44,06037554201
2.01,06037554203
1.59,06037554204
2.3,06037554301
2.11,06037554302
1.74,06037554403
1.97,06037554404
1.57,06037554405
1.93,06037554406
2.45,06037554511
2.15,06037554512
2.19,06037554513
2.04,06037554514
2.34,06037554515
2.4,06037554516
2.24,06037554517
2.37,06037554518
2.11,06037554519
2.19,06037554521
2.54,06037554522
2.08,06037554600
2.95,06037554700
2.47,06037554801
2.22,06037554802
2.42,06037554900
2.2,06037555001
2.15,06037555002
2.37,06037555105
1.82,06037555106
2.24,06037555107
2.16,06037555202
2.08,06037555211
2.09,06037555212
2.55,06037555300
2.37,06037570001
2.46,06037570002
2.55,06037570003
2.21,06037570100
2.28,06037570202
1.72,06037570203
1.94,06037570204
1.73,06037570303
1.56,06037570304
1.71,06037570305
2.36,06037570306
2.12,06037570402
1.96,06037570403
2.72,06037570404
1.93,06037570502
1.89,06037570503
2.25,06037570504
2.03,06037570601
2.16,06037570602
1.46,06037570603
1.73,06037570701
2.26,06037570703
2.32,06037570800
2.53,06037570901
2.38,06037570902
2.31,06037571000
2.36,06037571101
2.28,06037571102
2.18,06037571201
1.92,06037571202
2.19,06037571300
2.09,06037571400
2.06,06037571502
1.7,06037571504
1.96,06037571505
1.01,06037571600
1.81,06037571701
1.64,06037571703
1.87,06037571704
2.01,06037571800
1.71,06037571900
2.08,06037572001
1.89,06037572201
2.08,06037572202
2.44,06037572301
1.21,06037572500
2.66,06037572600
2.21,06037572700
1.65,06037573002
2.04,06037573003
1.4,06037573004
1.76,06037573101
1.88,06037573102
1.81,06037573201
1.95,06037573202
1.9,06037573300
1.86,06037573401
1.7,06037573402
1.89,06037573403
2.34,06037573601
2.21,06037573700
2.07,06037573800
1.95,06037573902
2.07,06037574000
2.28,06037574100
2.36,06037574201
2.08,06037574202
2.09,06037574300
2.23,06037574400
2.19,06037574500
1.91,06037574602
1.56,06037574800
2.28,06037574901
1.64,06037574902
1.69,06037575001
1.68,06037575002
1.49,06037575101
1.63,06037575102
1.41,06037575103
1.65,06037575201
1.79,06037575202
1.35,06037575300
1.24,06037575401
1.44,06037575402
1.68,06037575801
1.31,06037575802
0.88,06037575803
1.11,06037575901
0.99,06037575902
1.22,06037576001
1.03,06037576200
1.33,06037576301
1.43,06037576302
1.62,06037576401
1.46,06037576402
1.82,06037576403
1.16,06037576501
1.31,06037576502
1.36,06037576503
1.19,06037576601
1.34,06037576602
1.53,06037576700
1.2,06037576801
1.7,06037576802
1.62,06037576901
1.46,06037576903
1.55,06037576904
1.54,06037577000
1.61,06037577100
1.49,06037577200
1.4,06037577300
1.69,06037577400
1.78,06037577501
1.63,06037577504
1.65,06037577602
2.01,06037577604
1.9,06037577605
1.82,06037577606
2.31,06037577700
2.27,06037577800
1.38,06037577900
1.76,06037578000
0.0,06037578100
1.1,06037599000
2.6,06037599100
1.68,06037600100
1.49,06037600201
1.36,06037600202
1.77,06037600302
1.42,06037600303
1.6,06037600304
1.52,06037600400
1.65,06037600501
2.04,06037600601
1.43,06037600602
2.08,06037600702
1.63,06037600703
1.68,06037600704
1.64,06037600801
1.6,06037600802
1.55,06037600902
1.94,06037600911
2.15,06037600912
1.23,06037601001
1.52,06037601002
1.49,06037601100
2.19,06037601202
1.45,06037601211
1.55,06037601212
1.74,06037601301
1.75,06037601302
1.35,06037601303
1.54,06037601401
2.0,06037601402
1.86,06037601501
1.91,06037601502
2.31,06037601600
1.83,06037601700
2.12,06037601801
2.02,06037601802
1.91,06037601900
2.06,06037602002
1.96,06037602003
1.6,06037602103
1.81,06037602104
1.47,06037602105
1.38,06037602106
2.01,06037602201
1.94,06037602202
2.11,06037602301
1.92,06037602302
2.24,06037602402
1.76,06037602403
1.63,06037602404
1.57,06037602504
1.27,06037602505
1.3,06037602506
1.28,06037602507
1.4,06037602510
1.34,06037602511
2.14,06037602512
1.37,06037602513
2.08,06037602601
1.97,06037602602
2.0,06037602700
1.42,06037602801
2.35,06037602802
1.97,06037602900
1.68,06037603004
1.81,06037603005
1.67,06037603006
1.79,06037603007
1.78,06037603008
1.68,06037603101
1.74,06037603102
1.71,06037603200
1.52,06037603301
1.86,06037603302
1.93,06037603400
2.05,06037603500
2.28,06037603600
2.53,06037603702
2.16,06037603703
1.68,06037603705
1.53,06037603706
1.98,06037603801
2.2,06037603802
1.91,06037603901
2.12,06037603902
1.93,06037604001
1.67,06037604002
1.98,06037604101
2.07,06037604102
2.31,06037604200
1.78,06037609900
1.85,06037620001
1.76,06037620002
2.05,06037620101
1.69,06037620102
1.48,06037620201
2.1,06037620301
1.93,06037620303
1.74,06037620305
2.05,06037620400
1.97,06037620501
1.71,06037620521
1.79,06037620522
1.93,06037620601
2.1,06037620602
1.81,06037620701
2.08,06037620703
2.23,06037620704
2.31,06037620801
1.88,06037620802
2.04,06037620901
1.86,06037620904
1.58,06037621001
1.56,06037621005
2.0,06037621102
1.6,06037621104
1.6,06037621201
1.41,06037621204
1.85,06037621301
1.49,06037621324
1.5,06037621326
1.94,06037621400
1.89,06037650001
1.71,06037650003
1.86,06037650004
1.89,06037650101
2.34,06037650102
2.31,06037650200
2.09,06037650300
2.34,06037650401
2.15,06037650501
1.99,06037650502
1.9,06037650603
1.35,06037650604
1.66,06037650605
1.39,06037650606
1.76,06037650607
1.96,06037650701
2.15,06037650702
1.86,06037650801
1.66,06037650802
1.66,06037650901
1.95,06037650903
1.81,06037650904
1.97,06037651001
2.1,06037651002
1.92,06037651101
1.56,06037651102
2.1,06037651201
1.69,06037651221
1.81,06037651222
2.07,06037651302
1.71,06037651304
1.51,06037651401
1.82,06037651402
1.89,06037670001
1.65,06037670002
2.08,06037670003
1.79,06037670101
1.72,06037670102
2.15,06037670201
2.41,06037670202
2.07,06037670324
2.25,06037670326
2.27,06037670328
1.67,06037670405
2.27,06037670406
1.73,06037670407
2.12,06037670413
2.14,06037670416
2.09,06037670417
2.3,06037670418
2.67,06037670500
2.33,06037670603
2.06,06037670604
2.38,06037670701
2.57,06037670702
1.22,06037700101
1.16,06037700102
1.15,06037700200
1.06,06037700300
1.28,06037700400
1.43,06037700501
1.21,06037700502
2.62,06037700600
2.24,06037700700
1.26,06037700801
1.51,06037700802
1.75,06037700901
1.23,06037700902
1.53,06037701000
1.92,06037701201
1.34,06037701202
1.23,06037701302
1.8,06037701304
1.14,06037701402
1.39,06037701501
1.32,06037701502
1.61,06037701601
1.3,06037701602
1.27,06037701701
1.14,06037701702
1.4,06037701801
1.28,06037701802
0.92,06037701902
1.23,06037702002
1.24,06037702102
1.4,06037702201
1.66,06037702202
1.64,06037702300
1.56,06037702400
1.54,06037702501
1.42,06037702502
1.66,06037702600
1.86,06037702700
1.61,06037702801
1.56,06037702802
1.58,06037702803
1.46,06037702900
2.01,06037703002
1.33,06037703003
2.05,06037703100
1.99,06037703200
2.25,06037800101
2.3,06037800103
2.18,06037800104
2.31,06037800202
1.94,06037800204
1.91,06037800205
2.87,06037800206
1.95,06037800324
1.96,06037800325
2.32,06037800328
1.72,06037800333
2.07,06037800334
2.08,06037800335
2.7,06037800336
1.55,06037800337
2.51,06037800338
2.44,06037800406
2.07,06037800410
2.39,06037800411
2.16,06037800412
1.76,06037800504
2.11,06037800506
1.97,06037900102
2.19,06037900103
2.18,06037900104
2.34,06037900301
2.0,06037900501
1.87,06037900504
2.02,06037900505
1.96,06037900506
2.16,06037900508
1.87,06037900509
1.94,06037900510
1.45,06037900602
1.61,06037900606
1.9,06037900607
2.04,06037900608
2.06,06037900609
1.52,06037900610
2.33,06037900611
1.91,06037900701
1.36,06037900703
1.26,06037900704
1.31,06037900705
1.84,06037900804
2.14,06037900805
1.18,06037900806
2.47,06037900807
1.9,06037900808
1.9,06037900901
2.33,06037900902
0.0,06037901003
2.15,06037901007
2.27,06037901008
1.96,06037901009
2.21,06037901010
1.98,06037901011
2.53,06037901012
2.12,06037901013
2.49,06037901014
2.41,06037901101
2.49,06037901102
2.15,06037901209
2.4,06037901210
2.59,06037901214
1.78,06037901215
2.46,06037901216
2.4,06037901217
2.83,06037901218
2.41,06037901300
2.26,06037910002
2.34,06037910210
2.68,06037910211
2.69,06037910212
2.77,06037910213
2.39,06037910214
2.49,06037910215
2.29,06037910216
2.14,06037910217
1.91,06037910218
2.2,06037910301
2.32,06037910302
2.04,06037910401
2.16,06037910404
1.6,06037910405
1.16,06037910501
1.95,06037910502
2.37,06037910504
2.57,06037910505
2.42,06037910601
1.62,06037910602
1.95,06037910605
2.53,06037910606
2.04,06037910607
2.27,06037910608
2.35,06037910706
1.9,06037910707
2.73,06037910709
2.69,06037910712
2.78,06037910713
2.56,06037910714
2.6,06037910715
2.65,06037910716
2.4,06037910717
2.99,06037910718
2.65,06037910719
2.24,06037910720
1.93,06037910721
3.01,06037910804
2.39,06037910807
2.67,06037910808
2.84,06037910809
2.52,06037910810
2.46,06037910814
2.58,06037910815
2.22,06037911001
2.41,06037911100
2.19,06037920013
2.78,06037920015
2.48,06037920016
2.4,06037920017
2.58,06037920018
2.39,06037920020
2.32,06037920028
2.08,06037920029
2.09,06037920030
1.65,06037920031
2.3,06037920034
2.31,06037920035
1.96,06037920038
2.62,06037920039
2.36,06037920040
1.81,06037920041
2.08,06037920042
2.67,06037920043
2.12,06037920044
2.4,06037920045
1.82,06037920046
1.74,06037920047
2.14,06037920048
2.55,06037920049
1.94,06037920050
2.03,06037920102
2.36,06037920104
2.67,06037920106
2.05,06037920109
2.23,06037920110
2.35,06037920111
1.95,06037920112
1.92,06037920114
1.79,06037920115
2.55,06037920116
2.52,06037920118
2.83,06037920119
2.63,06037920120
2.05,06037920121
0.0,06037920200
2.19,06037920303
1.78,06037920312
2.41,06037920313
2.3,06037920314
2.15,06037920322
2.06,06037920326
1.82,06037920328
1.89,06037920329
1.71,06037920330
2.22,06037920331
2.39,06037920332
1.8,06037920334
2.36,06037920338
2.27,06037920339
2.4,06037920340
1.84,06037920341
1.93,06037920342
2.12,06037920343
2.36,06037930400
0.0,06037980001
0.0,06037980002
0.0,06037980003
0.0,06037980004
0.0,06037980005
0.0,06037980006
0.0,06037980007
1.0,06037980008
0.0,06037980009
1.41,06037980010
3.0,06037980011
0.0,06037980012
0.0,06037980013
1.8,06037980014
1.09,06037980015
1.58,06037980016
1.17,06037980017
0.0,06037980018
1.97,06037980019
0.0,06037980020
5.0,06037980021
0.0,06037980022
2.0,06037980023
1.68,06037980024
1.4,06037980025
0.0,06037980026
0.0,06037980028
0.0,06037980030
2.0,06037980031
0.0,06037980033
0.0,06037980034
1.85,06037980035
2.61,06037980036
0.0,06037980037
0.0,06037980038
0.0,06037980039
0.0,06037990100
0.0,06037990200
0.0,06037990300
